Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7      Egz.
Vardas6555           Pavarde6555                      8         6         7         7         6         7         1         1
Vardas6556           Pavarde6556                      9         1        10         5         9         3         9         2
Vardas6557           Pavarde6557                      7         8         3         5         4         7         7         4
Vardas6558           Pavarde6558                      6         1         3         6         3         8         3         7
Vardas6559           Pavarde6559                     10         7         9        10         8         9         8         7
Vardas6560           Pavarde6560                      7         5         7         2         5         2         4         5
Vardas6561           Pavarde6561                      1         7         6         3         6         8         6         7
Vardas6562           Pavarde6562                      3         4         3         1         9         7         2         9
Vardas6563           Pavarde6563                      9         6         1         2         2         6         7        10
Vardas6564           Pavarde6564                      4         5         8         8         1         8         2         6
Vardas6565           Pavarde6565                      4         4         7         9         6         8         2         1
Vardas6566           Pavarde6566                      7         3         8         1        10        10         4         1
Vardas6567           Pavarde6567                      1         1         1         7         8         5         3         8
Vardas6568           Pavarde6568                      7         3        10         3         4         1         1         1
Vardas6569           Pavarde6569                      8         4         9        10         5         2         7         8
Vardas6570           Pavarde6570                      5         3         6         2        10         8         7         1
Vardas6571           Pavarde6571                      2         2         2         7         9         6         6        10
Vardas6572           Pavarde6572                      3         6         9         1         7         9        10         9
Vardas6573           Pavarde6573                     10         5         7         3         7         1         1         5
Vardas6574           Pavarde6574                      8        10         4         4         7         4         3        10
Vardas6575           Pavarde6575                      8         7         4         1         7         7        10         2
Vardas6576           Pavarde6576                      4         5         6         4         1         5         3         1
Vardas6577           Pavarde6577                      4         9         7         1        10        10         1         2
Vardas6578           Pavarde6578                      8         9         4         8         6         2        10         1
Vardas6579           Pavarde6579                      1         7        10         7         6         7         6         4
Vardas6580           Pavarde6580                      5         8         6         7         6         2         8         3
Vardas6581           Pavarde6581                      7         5         2         9         7         6         7         5
Vardas6582           Pavarde6582                      9        10         4         1         2         5         2        10
Vardas6583           Pavarde6583                      8         4         8         9         3         3         8         6
Vardas6584           Pavarde6584                      9         4         2         8        10        10         1         6
Vardas6585           Pavarde6585                      4         6         2         9         8         8         1         1
Vardas6586           Pavarde6586                      5         8         9         1         5         2        10         6
Vardas6587           Pavarde6587                      6         9         4         1         6         1         3         3
Vardas6588           Pavarde6588                      4         2         1         7        10         3         8        10
Vardas6589           Pavarde6589                      8         2         3         1         3         1         7         7
Vardas6590           Pavarde6590                      5         3         8         8         8         4         6         5
Vardas6591           Pavarde6591                      5         9         2         8         9         4         1         7
Vardas6592           Pavarde6592                      2        10         3         1         2         4         9         5
Vardas6593           Pavarde6593                      1         8         8         5        10        10         1         4
Vardas6594           Pavarde6594                      7         1         4        10         3         7         5        10
Vardas6595           Pavarde6595                      7         3         4         4         2         9         3         1
Vardas6596           Pavarde6596                      7        10         6         5         6         3         1        10
Vardas6597           Pavarde6597                      5         4        10         9         6         1         7         7
Vardas6598           Pavarde6598                      4         6         5         6         6         7         7         9
Vardas6599           Pavarde6599                      9         7         7         9         1         4         6         5
Vardas6600           Pavarde6600                      1         9         3         2         7        10         9         4
Vardas6601           Pavarde6601                      1         5         6         9        10        10         8        10
Vardas6602           Pavarde6602                      5        10         4         4         2         4         2        10
Vardas6603           Pavarde6603                      8         2        10        10         6        10         7         6
Vardas6604           Pavarde6604                      4         6         4         4         7         6         5         2
Vardas6605           Pavarde6605                      9         9         9         3         9         2         9         6
Vardas6606           Pavarde6606                      4         5         3        10         2         7         7         7
Vardas6607           Pavarde6607                      2        10         7        10         9         3         9         6
Vardas6608           Pavarde6608                      9         2         1         1         2         4         8         5
Vardas6609           Pavarde6609                      5        10         1         7         7         9         5         3
Vardas6610           Pavarde6610                      2         5         6         4         5         7         1         4
Vardas6611           Pavarde6611                      8         7         4         5         1         4         7         5
Vardas6612           Pavarde6612                     10         8         8         1         9        10         3         5
Vardas6613           Pavarde6613                     10         2         2         6         6         2         8         3
Vardas6614           Pavarde6614                      4         1         8         5         3         4         2         6
Vardas6615           Pavarde6615                      1        10         3         5         1         8         5         1
Vardas6616           Pavarde6616                      2         8         6         6         3         5         5        10
Vardas6617           Pavarde6617                      1         2         1         9        10        10         1         5
Vardas6618           Pavarde6618                      8         5         2         6        10         6         9         3
Vardas6619           Pavarde6619                      3         4         5         5         3        10         4         4
Vardas6620           Pavarde6620                      4         2         9         8         7         3         3        10
Vardas6621           Pavarde6621                      1         7         4         9         7         7         8         2
Vardas6622           Pavarde6622                      8         7         6         7         8         7        10         5
Vardas6623           Pavarde6623                      1         3         9         5         2         7         7        10
Vardas6624           Pavarde6624                      1         7        10         6         5         4         3        10
Vardas6625           Pavarde6625                      3         6         7         9         6         9         4         6
Vardas6626           Pavarde6626                      6        10         4         7         2         6         7         5
Vardas6627           Pavarde6627                      9         8         3         7         5         5         3         8
Vardas6628           Pavarde6628                      8        10         2         6         7         5         9         5
Vardas6629           Pavarde6629                      5         6         4         6         4         7         3         1
Vardas6630           Pavarde6630                     10         1         1         5        10         7         7         3
Vardas6631           Pavarde6631                      5         7         5         4         7         7         9         6
Vardas6632           Pavarde6632                      3         4         6         1         8         9         9         6
Vardas6633           Pavarde6633                      1         3         3         5         9         8         2         5
Vardas6634           Pavarde6634                      6         6         2         6         1         3         9         8
Vardas6635           Pavarde6635                      4         3         4         8        10         4         6        10
Vardas6636           Pavarde6636                      3         3         9         7         7         9         7         7
Vardas6637           Pavarde6637                     10         9         2         4         6         8         8         6
Vardas6638           Pavarde6638                      1        10         6         7         8         5         5         2
Vardas6639           Pavarde6639                      8         2         6         6         1         6         8         5
Vardas6640           Pavarde6640                      8         8         8         3         8         3         5         4
Vardas6641           Pavarde6641                      9         4        10         4         7         9         9         7
Vardas6642           Pavarde6642                      5         8         1         2         4         8         7         6
Vardas6643           Pavarde6643                      2         4         7         4         3         9         6         5
Vardas6644           Pavarde6644                      2         2         4         1         8         3        10         8
Vardas6645           Pavarde6645                      2         5         3         4         6         3         6        10
Vardas6646           Pavarde6646                      8         7         1         9         4         9         4         5
Vardas6647           Pavarde6647                      7         5         6         8         7         2         8         2
Vardas6648           Pavarde6648                      1        10         2         7         8         4         4         8
Vardas6649           Pavarde6649                      1        10         4         9         5         4         2         2
Vardas6650           Pavarde6650                      4         5         2         4         1         8        10         4
Vardas6651           Pavarde6651                      5         9        10         1         4         6         4         3
Vardas6652           Pavarde6652                      6         2         5         8         2         7         1         4
Vardas6653           Pavarde6653                      7         6         1         1        10         5         1         5
Vardas6654           Pavarde6654                      1         6         3         9         4         4         4         9
Vardas6655           Pavarde6655                      4         5         6         3         4        10         1         9
Vardas6656           Pavarde6656                      6         2         7         1         1         1         7         9
Vardas6657           Pavarde6657                     10         3         7         9         3         3         1         9
Vardas6658           Pavarde6658                      9         2         5        10        10         5         4         2
Vardas6659           Pavarde6659                      2        10         8         7        10         6         5         5
Vardas6660           Pavarde6660                      2         9        10         2         9         9        10         5
Vardas6661           Pavarde6661                      3         6         7         9         6        10         6         6
Vardas6662           Pavarde6662                      4         7        10         7         3         5         8         7
Vardas6663           Pavarde6663                      3         5         2         3         2         5         4         9
Vardas6664           Pavarde6664                      3         7         2         6        10         4         9         3
Vardas6665           Pavarde6665                      2         7         8         7         4         2         2        10
Vardas6666           Pavarde6666                      7         8         1         5         4         7         5         7
Vardas6667           Pavarde6667                      4         9         7         6         6         3         6         4
Vardas6668           Pavarde6668                      1         9        10         9         1         2         9         5
Vardas6669           Pavarde6669                      8        10         9         2         2         7         7         5
Vardas6670           Pavarde6670                      5         6         4         7         6         2        10         1
Vardas6671           Pavarde6671                      8         6         6         5        10         8         9         3
Vardas6672           Pavarde6672                      2         9         8         7         9         1         1         9
Vardas6673           Pavarde6673                      3         7         9         2         6         1         4         4
Vardas6674           Pavarde6674                      6         8         8         7         6         4         3         6
Vardas6675           Pavarde6675                      5         5         5         7         4         7         9         7
Vardas6676           Pavarde6676                      7         9         3         7         2         4         4         9
Vardas6677           Pavarde6677                      8         4         1         4         8         7         7         4
Vardas6678           Pavarde6678                      9         4         1         5         1         6         8         8
Vardas6679           Pavarde6679                      8         9         4         8         4         7        10         4
Vardas6680           Pavarde6680                      3         2        10         6         1         2         4         1
Vardas6681           Pavarde6681                     10         2         9         4         1        10         7         5
Vardas6682           Pavarde6682                      4         8        10         2         9         2         3         2
Vardas6683           Pavarde6683                      6         2         2         6         1         3         3         2
Vardas6684           Pavarde6684                      1         3         1         7         6         9         7         3
Vardas6685           Pavarde6685                      6         5         4         4         2         4         3         7
Vardas6686           Pavarde6686                      8         3         1         7         1         7         1         2
Vardas6687           Pavarde6687                      2         9         2         4         6        10         2         9
Vardas6688           Pavarde6688                     10         4         8         3         9         1         1        10
Vardas6689           Pavarde6689                      2         3        10        10         1         9         9         3
Vardas6690           Pavarde6690                      5         6         7         6         6         5         6         7
Vardas6691           Pavarde6691                      6         2         8         8         4         7         7         3
Vardas6692           Pavarde6692                      3         7         5         5         5         2         3         9
Vardas6693           Pavarde6693                      6         7         4         4         7         9         5        10
Vardas6694           Pavarde6694                      8         3         4         3         4         8         3        10
Vardas6695           Pavarde6695                      7         6         1         3         3         8         6         2
Vardas6696           Pavarde6696                      5         4         2         1         4         3         1         3
Vardas6697           Pavarde6697                      9         2         8         5        10         7         1         4
Vardas6698           Pavarde6698                      7        10         3         7         6         2         9        10
Vardas6699           Pavarde6699                      9         9         9         7         9         8         8         5
Vardas6700           Pavarde6700                      3         5         3         3         2         7         5         3
Vardas6701           Pavarde6701                      1         5         9         9         2         3        10         3
Vardas6702           Pavarde6702                      7         7         6         6         2         3         6         5
Vardas6703           Pavarde6703                      3         7         9         8         8         2         8         4
Vardas6704           Pavarde6704                      1         9         5         1         9         2        10        10
Vardas6705           Pavarde6705                      5         3         1         3         5         7         9        10
Vardas6706           Pavarde6706                      5         6         4         9         6         1         3         5
Vardas6707           Pavarde6707                      7         9         1         1         5         1         5         8
Vardas6708           Pavarde6708                      1         6         7         4         7         1         4         6
Vardas6709           Pavarde6709                      6         4         8        10         7         8         1         5
Vardas6710           Pavarde6710                      5         4         8         6         4         6         3         1
Vardas6711           Pavarde6711                     10         5         7         7         4        10         5        10
Vardas6712           Pavarde6712                      9         8         2         7         5         7        10         9
Vardas6713           Pavarde6713                      3         6        10         5         3         7         8         4
Vardas6714           Pavarde6714                      1         4         7         8        10         1         3         2
Vardas6715           Pavarde6715                      1         2         5         4         1         4         8        10
Vardas6716           Pavarde6716                     10         1         1         5         9         1         5         1
Vardas6717           Pavarde6717                      9         7         1         3         1         3         5         7
Vardas6718           Pavarde6718                      1         2         8         4        10         7         5         2
Vardas6719           Pavarde6719                      4         1         5        10         5         2         5         1
Vardas6720           Pavarde6720                     10         8         1         2        10         3        10         1
Vardas6721           Pavarde6721                      4         6         6         2         5         3         5         8
Vardas6722           Pavarde6722                      3         1         9         8         8         5         9         4
Vardas6723           Pavarde6723                      8         2         8         9         1         6         1         9
Vardas6724           Pavarde6724                      4         2         3         2         4         3         7         5
Vardas6725           Pavarde6725                      9         1         4         6         6         9         9         6
Vardas6726           Pavarde6726                      3         7         3         5         8         4         7         5
Vardas6727           Pavarde6727                      4         8         6         7         5         8         8         9
Vardas6728           Pavarde6728                      6         3         9        10         3         5         4         9
Vardas6729           Pavarde6729                      3         6         9         6        10         1         7         6
Vardas6730           Pavarde6730                      1         7         5        10         7         6         9        10
Vardas6731           Pavarde6731                      8         1        10         3         1         6         6        10
Vardas6732           Pavarde6732                      8         5         4        10         1         8         1         8
Vardas6733           Pavarde6733                      9         6         4         2        10         3         8         9
Vardas6734           Pavarde6734                     10         4         3         7         8         9        10        10
Vardas6735           Pavarde6735                      2         4         7         8        10        10         4         2
Vardas6736           Pavarde6736                      4         2         1        10         4         5         6         8
Vardas6737           Pavarde6737                      5         7         4         8         3         7         9         9
Vardas6738           Pavarde6738                     10         3         2         2         6         9         3         6
Vardas6739           Pavarde6739                      7         2         7         9         2         2         1         8
Vardas6740           Pavarde6740                      7         8         7         1         5         1         3        10
Vardas6741           Pavarde6741                      2         4         1         3         6         4         9         2
Vardas6742           Pavarde6742                      4         1         7         6         5         7         7         7
Vardas6743           Pavarde6743                      3         2         5         1         5         7        10         6
Vardas6744           Pavarde6744                      9         7         8         4         5         1         5        10
Vardas6745           Pavarde6745                      8         6         7         8         6         5        10         4
Vardas6746           Pavarde6746                     10         5         4         2         4         4         4         1
Vardas6747           Pavarde6747                      3         4         8         7         6         6         9         9
Vardas6748           Pavarde6748                      9         3         7         2         1         1         7         8
Vardas6749           Pavarde6749                     10        10         6         9         7         2         6        10
Vardas6750           Pavarde6750                      7         4         2         9         1         3         1         7
Vardas6751           Pavarde6751                      4         7         3         4         7         4         9         4
Vardas6752           Pavarde6752                      2         4         7         5         1         2        10         3
Vardas6753           Pavarde6753                      4         2         7         7        10         8         3         9
Vardas6754           Pavarde6754                     10         8         3         7         8         9         9         5
Vardas6755           Pavarde6755                      4         3         6         1         5         1         5         9
Vardas6756           Pavarde6756                      7         8         5         7         6         6         9         3
Vardas6757           Pavarde6757                      3         9         7         7         6         8         4         1
Vardas6758           Pavarde6758                      4         3         6        10        10         4         2         9
Vardas6759           Pavarde6759                      4         5         4         3         2         8         5         8
Vardas6760           Pavarde6760                      1         3         6         4        10        10         1         7
Vardas6761           Pavarde6761                      5         5        10         9         4         3         4         4
Vardas6762           Pavarde6762                      6         2         2         8         5         1         9         1
Vardas6763           Pavarde6763                      4         8         6         9        10         3         9         4
Vardas6764           Pavarde6764                      4         3         4         2         2         3         7         8
Vardas6765           Pavarde6765                      5        10         1         9        10         8         1         7
Vardas6766           Pavarde6766                      6         4         3         7         3         9         2         1
Vardas6767           Pavarde6767                      5         7         5         4         9         5         4         7
Vardas6768           Pavarde6768                      7         9         9         9         2         6        10         4
Vardas6769           Pavarde6769                      4         5        10         2         6         1         7         1
Vardas6770           Pavarde6770                     10         6         9         2         7         6         8         2
Vardas6771           Pavarde6771                      8         4         1         8         8         3         3         6
Vardas6772           Pavarde6772                     10         6         2         5         6         3         1         3
Vardas6773           Pavarde6773                     10         7         9         2         4         2         6         9
Vardas6774           Pavarde6774                      3         5         3        10        10        10         2         6
Vardas6775           Pavarde6775                     10         7         9         2         5         6         3         5
Vardas6776           Pavarde6776                      7        10         1         3         5         9         1         6
Vardas6777           Pavarde6777                      5         9         9         4         8         8         5         5
Vardas6778           Pavarde6778                      2         3         8         5         6         9         4         7
Vardas6779           Pavarde6779                      2         1         6         2         5         5         7         8
Vardas6780           Pavarde6780                      3         8         4         6         5         3        10         8
Vardas6781           Pavarde6781                      6         7        10         1         4         3         5         1
Vardas6782           Pavarde6782                      8         2         3         9         8         6         8         5
Vardas6783           Pavarde6783                      7         2        10         5         8         8         8        10
Vardas6784           Pavarde6784                      6         5        10         2         8         9         6         6
Vardas6785           Pavarde6785                      1         9         8         3         2         7         2         3
Vardas6786           Pavarde6786                      6         8         9         8         3         5         8         1
Vardas6787           Pavarde6787                      8        10        10         3         4         3         5         8
Vardas6788           Pavarde6788                      8         7         7         6         4         2         2         2
Vardas6789           Pavarde6789                      5         7         8        10        10         4         6         9
Vardas6790           Pavarde6790                      9         9         6         9         5         9         4         3
Vardas6791           Pavarde6791                      7         7         9         4         1         4         6         2
Vardas6792           Pavarde6792                      1         4         8         8         1         3         3         4
Vardas6793           Pavarde6793                      1         7         5         3         9         7         3         2
Vardas6794           Pavarde6794                      8         9         5         4         4         9        10         4
Vardas6795           Pavarde6795                      5         2         6         3         5         4         4         2
Vardas6796           Pavarde6796                      7         3         2         1        10        10         5         2
Vardas6797           Pavarde6797                      5         3         3         6         7         3        10         4
Vardas6798           Pavarde6798                      2         9         9         9         9         2         6         9
Vardas6799           Pavarde6799                      3         9        10         9         9         9         2         1
Vardas6800           Pavarde6800                      5         5         2         1         7         4         2         1
Vardas6801           Pavarde6801                      3         2         8         7         1        10         5        10
Vardas6802           Pavarde6802                      3         1         1         6         8         4         1         6
Vardas6803           Pavarde6803                      3         5         7         4         8         7        10         9
Vardas6804           Pavarde6804                     10        10         3         3        10         2         6         7
Vardas6805           Pavarde6805                      7         1         5         4         3        10         3         3
Vardas6806           Pavarde6806                      2         6        10         7         8        10         8         8
Vardas6807           Pavarde6807                      6        10         5         3         1         3         3        10
Vardas6808           Pavarde6808                      6         3         4         8         5         6         8         8
Vardas6809           Pavarde6809                      9        10         9         2         4         1         6         6
Vardas6810           Pavarde6810                      8        10         4         3        10         3         9         4
Vardas6811           Pavarde6811                      1         5         2         5         4         6         1         1
Vardas6812           Pavarde6812                      3         7         9         3         5         8         6         6
Vardas6813           Pavarde6813                      4         3         2         8         3         9         2         9
Vardas6814           Pavarde6814                      5         8         2         4         5         4         1         6
Vardas6815           Pavarde6815                      1         5         4         6         8         6        10         2
Vardas6816           Pavarde6816                      6         3         1         8         2         4        10         9
Vardas6817           Pavarde6817                      4         9        10         3         4         9         9         6
Vardas6818           Pavarde6818                      5         4        10         9         2         6         8         8
Vardas6819           Pavarde6819                      2         6        10         7         3         4         7         9
Vardas6820           Pavarde6820                      7         6         8         4         8         1         9         2
Vardas6821           Pavarde6821                     10        10         4         6        10         4         8         1
Vardas6822           Pavarde6822                      6         4         7         6         1        10         5         5
Vardas6823           Pavarde6823                      8         5        10         5         6         7         4         1
Vardas6824           Pavarde6824                      5         1         7         8         7         8         8         5
Vardas6825           Pavarde6825                      1         8         8         2         5         9         4         3
Vardas6826           Pavarde6826                      6         8         2         1         4         4        10         3
Vardas6827           Pavarde6827                      8         6         3         7        10         1         8         2
Vardas6828           Pavarde6828                      1         8         5        10         7         6         3         2
Vardas6829           Pavarde6829                      6         8         5         4         5         2         1         9
Vardas6830           Pavarde6830                      6         4         5         1         7         8         9         1
Vardas6831           Pavarde6831                      7         9        10         9         9         8         3         2
Vardas6832           Pavarde6832                      7         3         3         1         8         2         9        10
Vardas6833           Pavarde6833                     10         4         8         2         9         9         2        10
Vardas6834           Pavarde6834                      7         3         2         6         9         9         8         8
Vardas6835           Pavarde6835                      6         5         6         1         9         2         5         5
Vardas6836           Pavarde6836                      1         2         5         7         1         1         3         9
Vardas6837           Pavarde6837                      8         8         8         2         9         7         9         6
Vardas6838           Pavarde6838                      8         7         1         5         4         2         7         8
Vardas6839           Pavarde6839                      7        10         4         4         5        10         5         2
Vardas6840           Pavarde6840                     10         5         4        10         6        10         8         8
Vardas6841           Pavarde6841                      4         4         7         6         5         3         1         6
Vardas6842           Pavarde6842                      8         6         6         4         2        10         8         7
Vardas6843           Pavarde6843                      6         9         1         8         3         7         5         2
Vardas6844           Pavarde6844                      8         2         5         7         7         1         9         8
Vardas6845           Pavarde6845                      9         6         8         9         8         6         5         9
Vardas6846           Pavarde6846                      7         2         9         3         8         5         3         1
Vardas6847           Pavarde6847                      7         4         9         8         7         5         8         2
Vardas6848           Pavarde6848                      7         2         5         6         6         6         2        10
Vardas6849           Pavarde6849                      2         8        10         5         5         6         6         7
Vardas6850           Pavarde6850                      8         1         8         1         7         3         2         6
Vardas6851           Pavarde6851                      7         1         8         4         4         4         7         3
Vardas6852           Pavarde6852                      1         5         2         4         5         5         1         5
Vardas6853           Pavarde6853                      4         7         4         5         3         1         7         4
Vardas6854           Pavarde6854                      8         8         7         8         8         2         2         3
Vardas6855           Pavarde6855                      7         5         5         2        10         1         5         8
Vardas6856           Pavarde6856                      9         3        10         4         4         7         4         4
Vardas6857           Pavarde6857                      2         3         4         4         9         1         4         6
Vardas6858           Pavarde6858                      9         7         6        10         7         4         6         5
Vardas6859           Pavarde6859                      8         1         4        10         6         7         5         9
Vardas6860           Pavarde6860                     10         2         8         7         6         7         1         9
Vardas6861           Pavarde6861                      2         9        10         1         5         4         1         5
Vardas6862           Pavarde6862                      9        10         8         1         3         7         4        10
Vardas6863           Pavarde6863                      8         3         3         9         4         9         3         7
Vardas6864           Pavarde6864                      6         8         6         2         2         6         4         8
Vardas6865           Pavarde6865                      9         6         9         7         7         1         3        10
Vardas6866           Pavarde6866                      4         6         4         9         3         9         6         4
Vardas6867           Pavarde6867                     10         3         8         8         3         2         1         6
Vardas6868           Pavarde6868                      2         9         5         1         6         5         3         5
Vardas6869           Pavarde6869                      1         6         6         3         4         6         2         9
Vardas6870           Pavarde6870                      7         2         6         5         1         7         5         4
Vardas6871           Pavarde6871                      1         4         7         1         4        10         5         2
Vardas6872           Pavarde6872                      8        10         4         9         8         4        10         6
Vardas6873           Pavarde6873                      7         8         6         1         1         1         7         8
Vardas6874           Pavarde6874                      7         4         3         5         8         1         9         9
Vardas6875           Pavarde6875                      2         3         1         6         7         1         3         4
Vardas6876           Pavarde6876                      2         9         9         2         1         3         2         4
Vardas6877           Pavarde6877                      9         5         4         1         8        10         8         8
Vardas6878           Pavarde6878                     10        10         7         4         6         6         4         7
Vardas6879           Pavarde6879                      2         6         2         3         6         7         6         2
Vardas6880           Pavarde6880                      2         7         6         7         6         8         6         3
Vardas6881           Pavarde6881                      5         4         7         3         1         5         2         8
Vardas6882           Pavarde6882                      5         6         8         3         2         7         7         8
Vardas6883           Pavarde6883                      2         3         4         4         3         1         8         8
Vardas6884           Pavarde6884                      8         4         1         9         6        10         7         2
Vardas6885           Pavarde6885                      2         3         7         3         2         3         2         2
Vardas6886           Pavarde6886                      8         5        10         4         1         7         4         3
Vardas6887           Pavarde6887                      6         6         5         5         2         7         2         1
Vardas6888           Pavarde6888                      1         3         8        10         3         4         5         7
Vardas6889           Pavarde6889                     10         2         9         4         3         9         3         1
Vardas6890           Pavarde6890                      4         1        10         1         9         6         2         6
Vardas6891           Pavarde6891                     10         3         9         9         8         8        10         5
Vardas6892           Pavarde6892                      9         1         8         9        10         8         5         2
Vardas6893           Pavarde6893                      5         2         7         2         5         6         9         1
Vardas6894           Pavarde6894                      4         5         5         1         6         4        10         9
Vardas6895           Pavarde6895                      5        10        10         7         3        10         4        10
Vardas6896           Pavarde6896                      8         3         6         8         5         1         2         1
Vardas6897           Pavarde6897                      5         7         2         1         1         7        10         4
Vardas6898           Pavarde6898                      9         5         5         7         6        10         8        10
Vardas6899           Pavarde6899                      1         5         5         9        10         5         8         6
Vardas6900           Pavarde6900                      4         2         7         2        10         5         1         7
Vardas6901           Pavarde6901                      9         7         9         9         3         7         3         3
Vardas6902           Pavarde6902                      6         8         1         9         2         6         1         4
Vardas6903           Pavarde6903                      2         8         7         7         2        10         6         7
Vardas6904           Pavarde6904                      8        10         6         8         9         2         9         7
Vardas6905           Pavarde6905                      3         3         4         2         2        10         4         7
Vardas6906           Pavarde6906                      4         9         3         2         8         3         1         9
Vardas6907           Pavarde6907                      8         3         5        10         1         5         4        10
Vardas6908           Pavarde6908                      8         5         9         2         3         7         5         7
Vardas6909           Pavarde6909                      2         4         4         3         3         6         5         6
Vardas6910           Pavarde6910                      9         3         4         1         2         5        10         4
Vardas6911           Pavarde6911                      4         1         7         7         1         8         9         3
Vardas6912           Pavarde6912                      5         2         6         1         1         8         6         5
